Glimmer,MOD,OL,AO
910,,3,LANDING
910,,3,LANDING
745,,3,LANDING
745,,4,LANDING
745,1,4,LANDING
1075,,4,LANDING
580,,5,LANDING
745,,5,LANDING
1075,,5,LANDING
745,,5,LANDING
745,,5,LANDING
910,,5,LANDING
910,,1,LANDING
745,,1,LANDING
580,,1,LANDING
910,,1,LANDING
910,,2,LANDING
745,,2,LANDING
1075,,2,LANDING
1075,,2,LANDING
1075,,3,LANDING
910,,3,LANDING
1075,,3,LANDING
745,,4,LANDING
1075,,4,LANDING
745,,5,LANDING
745,,5,LANDING
580,,5,LANDING
745,,5,LANDING
745,,5,LANDING
745,,1,BLOOMING
580,,1,BLOOMING
910,,1,BLOOMING
910,,1,BLOOMING
1075,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
910,,1,BLOOMING
910,,2,BLOOMING
745,,2,BLOOMING
580,,2,BLOOMING
580,,2,BLOOMING
745,,2,BLOOMING
1240,,2,BLOOMING
745,,2,BLOOMING
910,,2,BLOOMING
910,,2,BLOOMING
745,,2,BLOOMING
745,,2,BLOOMING
745,,2,BLOOMING
580,,2,BLOOMING
415,,2,BLOOMING
910,,2,BLOOMING
1075,,2,BLOOMING
1075,,3,BLOOMING
745,,3,BLOOMING
745,,3,BLOOMING
415,,3,BLOOMING
910,,3,BLOOMING
910,,3,BLOOMING
580,,3,BLOOMING
910,,3,BLOOMING
1240,,3,BLOOMING
910,,3,BLOOMING
415,,3,BLOOMING
745,,3,BLOOMING
910,,3,BLOOMING
745,,3,BLOOMING
745,,3,BLOOMING
745,,3,BLOOMING
580,,3,BLOOMING
910,,3,BLOOMING
745,,3,BLOOMING
580,,3,BLOOMING
415,,3,BLOOMING
910,1,3,BLOOMING
1075,,3,BLOOMING
580,,4,BLOOMING
1075,,4,BLOOMING
580,,4,BLOOMING
745,,4,BLOOMING
745,,4,BLOOMING
745,,4,BLOOMING
745,,4,BLOOMING
1075,,4,BLOOMING
580,,4,BLOOMING
910,,4,BLOOMING
910,,5,BLOOMING
745,,5,BLOOMING
745,,5,BLOOMING
1075,,5,BLOOMING
910,,5,BLOOMING
580,,1,BLOOMING
910,,1,BLOOMING
910,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
910,,1,BLOOMING
1075,,1,BLOOMING
1075,,1,BLOOMING
910,,1,BLOOMING
580,,1,BLOOMING
580,,1,BLOOMING
910,,1,BLOOMING
745,,1,BLOOMING
580,,1,BLOOMING
1075,,2,BLOOMING
1075,,2,BLOOMING
910,,2,BLOOMING
1075,,2,BLOOMING
910,,2,BLOOMING
910,,2,BLOOMING
745,,2,BLOOMING
745,,2,BLOOMING
580,,2,BLOOMING
1075,,2,BLOOMING
745,,2,BLOOMING
1240,,2,BLOOMING
910,,3,BLOOMING
910,,3,BLOOMING
745,1,3,BLOOMING
745,,3,BLOOMING
580,,4,BLOOMING
745,,4,BLOOMING
580,,4,BLOOMING
910,,4,BLOOMING
745,,4,BLOOMING
580,,4,BLOOMING
745,,4,BLOOMING
1075,,5,BLOOMING
1075,,5,BLOOMING
910,,5,BLOOMING
1075,1,5,BLOOMING
1240,,5,BLOOMING
580,,5,BLOOMING
745,,1,BLOOMING
1075,,1,BLOOMING
910,,1,BLOOMING
910,,2,BLOOMING
1075,,2,BLOOMING
1075,,3,BLOOMING
745,,3,BLOOMING
745,,3,BLOOMING
580,,3,BLOOMING
580,,3,BLOOMING
745,,3,BLOOMING
745,,3,BLOOMING
1240,,3,BLOOMING
1075,,3,BLOOMING
580,,3,BLOOMING
945,,4,BLOOMING
945,,4,BLOOMING
745,,5,BLOOMING
910,,5,BLOOMING
415,1,5,BLOOMING
745,,5,BLOOMING
745,,1,BLOOMING
910,,1,BLOOMING
745,,1,BLOOMING
580,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
910,,2,BLOOMING
745,,2,BLOOMING
745,,2,BLOOMING
745,,2,BLOOMING
910,,2,BLOOMING
1075,,3,BLOOMING
745,,3,BLOOMING
1075,,3,BLOOMING
745,,3,BLOOMING
580,,4,BLOOMING
910,,5,BLOOMING
1075,,5,BLOOMING
745,,5,BLOOMING
745,,5,BLOOMING
910,,5,BLOOMING
745,,5,BLOOMING
910,,1,BLOOMING
910,,1,BLOOMING
745,,1,BLOOMING
910,,1,BLOOMING
745,,1,BLOOMING
1075,,1,BLOOMING
580,,1,BLOOMING
1075,,1,BLOOMING
745,,1,BLOOMING
580,,1,IMPASSE
745,,1,IMPASSE
415,,1,IMPASSE
745,,1,IMPASSE
910,,2,IMPASSE
580,,2,IMPASSE
580,,2,IMPASSE
910,,3,IMPASSE
580,,4,IMPASSE
1240,,4,IMPASSE
1075,,4,IMPASSE
1075,,4,IMPASSE
910,,4,IMPASSE
1075,,5,IMPASSE
580,,1,BLOOMING
910,,1,BLOOMING
910,,1,BLOOMING
580,,1,BLOOMING
745,,1,BLOOMING
745,,1,BLOOMING
